user,item
1039,1004
725,1121
879,890
214,1628
373,1585
656,2504
1574,1947
844,1493
1443,3365
64,2874
334,1033
1764,3127
1034,3742
1518,1772
1274,3631
779,3216
48,3068
1573,3413
1852,402
1180,718
1654,1392
1572,15
577,262
325,2633
1484,1217
1054,1277
40,3417
66,3519
1515,4110
1311,2563
395,135
1826,4173
1543,93
1576,3122
1753,745
1375,1986
1259,3423
1759,447
1796,4119
1374,907
869,4309
976,2440
79,2974
1024,2205
1699,4333
1209,4237
1425,1972
197,852
788,2988
588,2504
964,3750
1522,1848
1019,3929
299,3167
274,2066
1303,1304
1722,978
823,689
160,1311
700,3965
637,650
270,1022
1016,1973
1541,803
893,346
1627,980
1485,455
424,3855
487,3359
1653,3702
1497,2880
689,3214
1134,2962
1840,3311
1489,2047
362,455
1864,3525
90,2941
609,2897
1493,2877
126,2046
238,2512
1131,1357
1707,440
262,2165
1492,3677
377,795
805,2935
151,2988
1872,2374
1305,500
440,1517
1797,447
1779,1851
1637,2155
522,3610
933,637
871,581
978,545
1016,844
1347,89
652,3067
344,3184
1654,2035
1769,276
1509,2895
266,2516
396,213
48,776
1537,645
1429,1869
1025,633
744,3876
926,2409
1131,500
1830,1830
1332,3275
708,696
1054,1004
1861,4024
536,929
1076,3127
1680,3328
1630,2549
693,4111
823,2258
1131,2210
381,2809
954,2247
1054,1604
59,2013
1841,3235
1508,1848
529,1979
1217,3327
686,2974
1189,1038
573,3808
1013,1004
1618,279
1629,306
1714,2032
673,3745
1093,2876
1683,3592
1361,1152
1700,2678
1567,3306
1131,2814
944,2572
853,154
150,3567
1595,875
1815,1377
870,325
586,2726
342,3417
1350,688
209,2658
1777,2771
425,4220
1482,2325
1472,2988
1650,2598
862,3997
777,4015
640,1333
291,878
408,3115
1309,928
1339,3071
1233,2962
1524,2219
1365,1999
1640,43
102,3045
900,1821
66,3417
1550,2500
474,609
1041,3729
1324,4037
1605,980
149,310
1759,4023
226,2313
710,1415
1513,303
1427,2604
49,4057
1165,3328
1746,807
258,1413
481,3297
1023,1628
348,2175
1146,4090
1056,836
1110,890
1512,2405
1811,2025
870,500
1175,20
1584,3742
692,814
1732,3930
690,325
936,205
830,1996
595,1475
1258,2046
17,4057
1646,549
1593,835
1844,2020
1733,1508
945,576
457,1848
1163,2461
1239,2779
114,2808
1299,678
1446,830
1261,3506
117,2006
1134,1611
1253,167
888,2175
1036,2808
816,2962
1732,1403
443,4067
1119,2346
90,1466
1093,2374
1648,1243
1889,175
179,1269
1036,1635
1238,769
1445,3103
332,1344
1759,2346
658,1048
1227,3417
1604,1720
1108,1745
