user,item
1026,531
1502,5113
1531,3661
1531,3971
1764,7091
473,5877
52,4821
1241,2085
1497,5249
12,1300
441,1184
1563,6985
707,2212
1072,830
1716,5114
787,6669
820,786
1385,1726
1208,319
1315,744
29,3255
1570,4800
1275,7039
1105,6741
1777,5111
1043,5925
1396,3258
389,5786
1356,3966
818,3303
882,159
573,5781
39,494
330,5613
1784,868
72,7242
1345,1434
1374,1436
1530,4664
880,1983
1376,897
332,861
632,3804
1218,1185
675,4746
31,2763
1669,4819
51,4438
1621,3293
805,2703
788,5513
97,5946
1457,7272
939,4288
1712,1347
563,2083
1594,5249
1541,6777
987,939
489,3167
1652,744
245,1725
188,1347
1042,2082
1685,498
165,1830
308,4199
1549,1969
833,1059
545,1257
1030,939
727,1544
1155,3963
1776,1792
1754,3963
1299,5815
852,4793
598,865
397,3552
982,5109
229,1070
701,5378
1334,160
1696,4825
1398,554
893,1839
976,3970
73,1722
1395,159
1452,4629
1751,5250
1316,3662
1185,1717
1096,1080
1447,3416
855,1085
1316,1726
1274,6013
1704,4195
1537,5249
788,4797
1492,3840
1301,829
1082,3967
340,2085
1515,6228
962,1068
1102,1080
1714,6228
1053,2232
1435,2805
126,1968
31,3885
1266,4438
1783,5249
651,270
394,3965
1249,270
856,5209
1187,4624
1663,3524
1310,303
842,4821
1663,2364
1721,6662
710,6077
331,813
1461,159
1423,2353
1360,17
556,160
1215,5807
528,939
548,1069
1484,1717
1557,270
71,5925
15,160
1694,2231
468,1347
1207,3688
389,3972
599,5249
971,4746
108,5513
1564,3972
704,5253
73,5378
1274,5211
1122,7272
1386,3840
933,5807
53,1067
96,2603
994,2620
1403,1347
885,323
1004,5209
278,5252
246,3972
446,5114
1192,3885
783,2620
1756,2227
779,1348
1359,6850
694,6150
1349,3251
422,5782
496,1839
980,6683
1556,2352
114,2089
1344,5931
514,5321
292,2620
15,366
471,1186
1646,3966
59,2427
1476,2353
769,4205
1588,4199
1005,4203
1487,159
639,5780
573,6228
996,1070
104,3665
1222,3536
1226,3536
199,3965
713,6077
1668,6389
646,5652
779,5116
156,5514
332,3970
138,3971
1563,5813
642,866
587,3455
1612,4819
1381,5108
1672,5834
981,6685
23,3971
599,2352
1219,1345
1562,4749
78,423
1750,5207
1651,829
1461,2083
1343,5931
1790,3963
1576,3972
1021,3965
1707,491
155,3455
688,494
201,6610
316,1070
709,6500
1160,4162
71,161
442,4752
1682,4819
380,3006
886,6074
292,5617
1481,1347
1615,3964
724,5112
1045,500
1159,367
227,1514
691,7091
48,2085
1091,7091
388,3766
717,786
862,1004
1765,3664
77,5783
178,4118
892,5378
869,6669
7,861
1611,7091
1502,3536
1413,830
372,1718
1224,3966
1499,5514
1777,5110
103,1187
469,5807
373,745
1366,2083
1300,1830
424,3963
720,1719
690,5782
707,7204
532,5249
985,5114
83,4793
1304,3258
1400,1725
944,5932
1125,5613
954,5249
1006,5780
1130,5936
268,3251
554,7028
1800,3478
112,6685
855,4793
989,7091
425,6228
283,3688
1635,4676
308,863
216,5513
663,2792
1073,1718
1030,5115
1526,6762
835,6949
253,6229
1563,5938
670,5807
1641,3006
1699,1581
1448,867
418,1253
1337,2792
1295,3803
531,6667
1310,5807
1559,5115
410,6741
1259,4438
884,1080
73,1070
1033,1821
442,6230
1672,1435
712,3414
1482,433
1344,3663
40,6850
1483,367
466,6667
1469,5834
1697,4664
645,6391
1496,3963
936,5807
1480,3520
1244,4626
1630,5250
1129,5387
1403,5116
1511,5780
286,745
994,4438
158,5842
847,3964
1207,4820
1512,57
988,1063
462,3964
181,7281
974,3510
1247,4799
1618,5250
798,1187
20,1721
806,5944
1141,866
408,7091
657,790
1600,902
90,2260
737,1083
820,7272
1013,6667
362,6237
1363,5518
449,5996
353,3455
1471,3972
998,270
932,741
1786,5387
837,6850
1083,2353
1016,4786
419,830
441,2230
208,5782
640,3167
1686,7272
96,3740
1434,6682
1501,3842
464,6535
1559,5617
1278,1434
474,5788
370,1723
570,6548
1458,5617
1690,1722
928,4819
1753,5249
