user,item
1944,311
728,498
146,4241
2360,112
83,520
2063,275
443,904
1703,1899
510,310
2893,418
1069,518
313,214
2233,765
1354,3710
1650,916
2680,1364
494,201
461,212
328,686
209,109
107,492
1619,214
2179,2178
1850,326
1713,950
2690,820
2575,373
1791,754
1111,1475
1887,563
857,1619
286,487
1810,679
1677,2719
2320,474
242,1922
2363,3787
175,520
2017,324
555,14
491,1595
2277,2730
2321,1048
2415,104
1998,9
2702,63
1222,104
1861,81
246,10
1436,637
1536,401
2574,783
1427,3591
1257,995
1095,77
2227,1357
1721,356
992,1071
2362,1142
190,520
355,1048
210,1423
2737,1250
720,1084
1295,2730
1905,542
2618,415
1809,5056
591,2279
2543,482
185,485
479,88
913,240
676,1744
2408,529
2127,2817
1012,29
1976,104
2356,145
1042,1912
2740,669
1570,368
808,1469
2817,3375
1859,472
1671,585
1645,557
1694,2660
939,234
1610,339
2180,1663
2098,11
712,2202
557,506
507,1236
2954,5421
1679,311
1471,61
1898,1899
801,98
2115,849
1515,992
2798,3049
1359,1048
2953,3787
605,988
1804,186
2623,3098
1057,202
2509,11
2467,332
298,2220
715,488
2676,592
1819,49
1558,1903
1315,482
2712,916
753,822
2643,229
1063,450
634,338
43,2380
876,476
2740,428
1482,988
1695,1858
2759,1212
2495,4349
1044,606
2237,1048
2093,471
2691,2380
1236,813
2364,660
2854,1556
87,140
1122,232
1155,375
1904,209
1677,387
2230,111
1448,3710
1544,686
2087,1203
221,50
1041,327
2240,232
1275,4971
2434,81
1728,512
2251,810
1761,328
379,341
831,403
1037,145
2394,1739
1649,343
1710,667
1145,1330
1875,2614
2767,145
1430,1343
441,488
246,201
664,485
2747,433
357,458
88,1212
1909,553
2609,154
2588,394
2337,375
264,1226
2930,2615
178,312
286,812
2477,288
2994,32
1746,588
92,1687
1359,489
929,1899
2417,519
184,394
2221,995
2813,717
1704,1071
1106,231
997,165
2307,145
1616,846
471,17
10,2099
335,499
349,506
762,61
793,418
2959,370
819,221
1029,1912
2337,1126
357,696
1460,445
2157,27
1379,1330
2631,667
2270,508
589,717
456,125
428,485
1508,145
1807,476
2812,2521
815,4241
2511,932
1365,1999
2715,1939
421,2380
247,5332
962,27
155,705
1717,625
883,2215
1202,658
1396,463
1916,145
197,643
2053,171
1331,1279
2230,713
2219,338
2586,398
2339,465
13,242
2343,712
2780,761
2462,2099
1670,476
113,1087
235,1330
1993,3049
880,2618
2227,20
1402,1075
140,4
1518,2226
2439,145
117,1527
232,945
1934,374
1981,221
5,1527
616,277
655,655
415,758
2137,4406
2956,145
2937,61
1508,474
2474,2618
464,25
1186,2618
1985,9
2350,501
592,2596
229,1184
2881,655
1822,1064
1112,142
366,1456
2719,58
1553,669
322,29
441,472
2398,1080
2164,422
280,988
604,133
1399,783
725,1319
690,172
2026,1527
2271,686
747,296
1094,4369
367,16
1805,2500
2560,340
2728,24
480,857
515,3097
1208,997
2166,3787
1118,1939
190,88
2046,450
1148,1034
223,4368
1625,232
2365,834
2376,4455
2096,1125
1768,1595
276,214
655,460
2153,537
713,1220
1009,2338
241,818
1661,2500
1261,389
2441,114
913,214
1505,1064
1962,1014
6,486
81,109
388,515
2800,4631
468,2618
2980,129
776,1527
1030,1005
1830,1851
741,0
768,10
1779,804
334,837
2248,1226
721,5016
1099,918
2148,2596
840,1858
692,485
2397,1279
1448,1379
2088,155
2472,1125
1096,232
1978,240
2273,1401
2545,658
2015,3049
2338,864
309,17
1268,1275
2200,146
1399,27
2908,528
2464,116
1526,5016
275,782
675,655
59,4631
1192,684
2041,886
241,2226
957,3
1984,9
777,2437
1871,476
1768,1401
573,1708
2960,2226
2819,502
1107,186
